CO,NO2,O3,PM10,PM2.5,SO2,ISPU,ISPU_Kategori
0.09,41.77,45.48,24.52,17.66,29.15,53,Sedang
0.15,42.67,44.9,39.03,27.84,30.77,65,Sedang
0.11,41.76,44.11,29.92,21.37,29.84,57,Sedang
0.08,37.56,41.94,20.8,15.1,30.17,49,Baik
0.11,39.85,47.76,31.3,23.3,31.99,60,Sedang
0.11,36.64,49.37,35.6,26.2,32.19,63,Sedang
0.07,33.89,39.64,23.14,16.52,32.29,51,Sedang
0.05,31.03,37.44,16.44,11.43,32.47,37,Baik
0.05,29.95,38.69,16.85,11.94,31.91,39,Baik
0.05,29.44,40.06,15.02,10.92,31.3,35,Baik
0.07,33.86,37.64,21.42,16.13,31.73,51,Sedang
0.07,35.46,37.78,20.07,15.29,30.17,49,Baik
0.07,32.58,30.82,20.64,15.37,31.28,50,Baik
0.04,29.8,40.99,14.5,10.76,29.77,35,Baik
0.06,31.5,43.05,33.08,26.68,29.4,64,Sedang
0.06,31.77,51.6,24.0,18.04,27.8,53,Sedang
0.07,45.59,64.31,25.24,19.51,25.7,55,Sedang
0.07,45.59,60.62,21.63,16.29,25.73,51,Sedang
0.12,44.47,55.55,34.86,25.91,28.2,63,Sedang
0.11,36.29,36.63,31.7,23.53,31.82,60,Sedang
0.07,37.52,47.07,23.74,17.95,29.04,53,Sedang
0.06,40.07,48.56,21.03,15.42,28.4,50,Baik
0.06,40.83,57.21,19.27,13.68,26.74,44,Baik
0.07,45.5,65.26,19.68,14.07,25.14,45,Baik
0.06,38.45,62.51,19.05,14.67,25.35,47,Baik
0.09,39.83,55.9,23.78,16.98,27.24,55,Sedang
0.07,34.35,53.5,20.05,14.6,27.29,47,Baik
0.06,36.47,49.79,18.28,13.0,28.19,42,Baik
